pecha_id,batch,layer,ann_id,start_orig,end_orig,start,end,start_delta,end_delta,unsnapped_reason,start_is_clean_after,end_is_clean_after,overlap_action,dropped
I0156A8B1,new,Citation.yml,a22a39b3c640460a946c0a0c03c524d0,42223,42422,42223,42422,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,f1a8ad43635e4ad1ad28a3b4408dee7f,42683,43002,42683,43002,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,a4ed7fb0259e4be599faf136098feb94,44274,44425,44274,44425,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,c3adae8aec8b4c7297f586b26d704aef,44766,45367,44766,45367,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,a3e1161ebd4748a8a347b8c8fceab3ff,45919,46219,45919,46219,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,37e5c5f8441e45538a9b1a3396cda73d,50926,51140,50926,51140,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,65fb980a72824ca994091f8a9da2e867,52912,53027,52912,53027,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,36c487ebe0ee40e9a6a2ac7a1393724f,53064,53182,53064,53182,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,767d1b33b8af42ae981cfd4c81af594a,53206,53319,53206,53319,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,c130c59e81f1475388a50e1f766241b2,54249,54486,54249,54486,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,39f1ca8ceed643a6884211ef9cbac0c7,54519,54559,54519,54559,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,28ca309d3688492091d6d5f92eecb3d8,54642,54850,54642,54850,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,94287ee7cd944b6ab74cc003d0639a70,54874,54903,54874,54903,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,4c5fdac03851454db5080fc87f82b3bb,56128,56320,56128,56320,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,8f4309b1e26d42e7b3d210afb88a4f84,56353,56431,56353,56431,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,06496bc1fa1d450a9be45e4f144ef3b1,56778,56856,56778,56856,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,d2ebda15a33e45be8ec5c4231ae52e96,57429,57596,57429,57596,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,8ed0eb870a5a4eac91f8a030fd1f6abf,57619,57816,57619,57816,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,387c203d61104b669c2899bdf71743a7,57895,58304,57895,58304,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,9806253a0ec84308b78701e2f8d4e75e,58501,58679,58501,58679,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,61fdc4e71d38417da6121fca1799a641,58709,58817,58709,58817,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,984fe3de82824a73aa6299b5d31d6c93,58850,58969,58850,58969,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,93f5d6bfa7c44c0d9594f63b44551a9d,59001,59153,59001,59153,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,0d4ddd4f3d3c40f3baa3e8857ddfe550,59565,59633,59565,59633,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,6484196360d6402f83b76a97943398e4,59664,59809,59664,59809,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,f6b257161bf14297a6a2a05c219dd0cc,59842,59915,59842,59915,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,b26f74cb92f04b279fda1db05dd0e88c,59952,60888,59952,60888,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,2ae75a8af80045a78e4adc10f046133e,60969,61313,60969,61313,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,0b638b9b7a864b26853ddc59cc678bd5,61336,61500,61336,61500,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,39961911014a4707b1c7b99a7e8dc4b9,61541,61953,61541,61953,0,0,,True,True,,False
I058DD999,new,Citation.yml,5d0d376248b1499793558d2d033c27ea,38309,38334,38309,38334,0,0,,True,True,,False
I058DD999,new,Citation.yml,6a139e4d1bcf4312996712dbfcbe2c97,38336,38368,38336,38368,0,0,,True,True,,False
I058DD999,new,Citation.yml,3f272d154477424f95ce4cd8052710d3,38370,38398,38370,38398,0,0,,True,True,,False
I058DD999,new,Citation.yml,89bc50805fbc4a4a89d89f3a6e2fc045,38400,38424,38400,38424,0,0,,True,True,,False
I058DD999,new,Citation.yml,48a1300549db40ca92ca0af3282de884,38896,38927,38896,38927,0,0,,True,True,,False
I058DD999,new,Citation.yml,ab4cab6b1c7e4cdba46e8281f31b5be0,38929,38959,38929,38959,0,0,,True,True,,False
I058DD999,new,Citation.yml,2b4d86d92430459fa1f3d5c0e04d01be,39596,39636,39596,39636,0,0,,True,True,,False
I058DD999,new,Citation.yml,fee990c118ce44a683194c6d20009023,39837,39871,39837,39871,0,0,,True,True,,False
I058DD999,new,Citation.yml,6bc2e9572fab40a78c4d8d57b7c750fa,39873,39909,39873,39909,0,0,,True,True,,False
I058DD999,new,Citation.yml,27dc013cfb4d45fa9b2f1788a1d9d164,39911,39944,39911,39944,0,0,,True,True,,False
I058DD999,new,Citation.yml,3c5e443d8e3e477b92249ac846a87542,40160,40188,40160,40188,0,0,,True,True,,False
I058DD999,new,Citation.yml,4ef55dd2f05c491384dfeefea1d2b3a7,40190,40216,40190,40216,0,0,,True,True,,False
I058DD999,new,Citation.yml,c74dba0663ea4c11be8291fb3963b2cf,40218,40242,40218,40242,0,0,,True,True,,False
I058DD999,new,Citation.yml,1cc8954cf3bf4b60802ed17937849d8b,40244,40268,40244,40268,0,0,,True,True,,False
I058DD999,new,Citation.yml,04a826e366ee4acab3373a340ba495c6,40326,40352,40326,40352,0,0,,True,True,,False
I058DD999,new,Citation.yml,351a768b55e04a2da43ca211cc7fb9de,40354,40388,40354,40388,0,0,,True,True,,False
I058DD999,new,Citation.yml,2e9ad7985e5548b8af71f4eff6dbd2c2,40390,40418,40390,40418,0,0,,True,True,,False
I058DD999,new,Citation.yml,92e2f2f61801424687e6f8f6e42692c5,41102,41125,41102,41126,0,1,,True,True,,False
I058DD999,new,Citation.yml,bba20980279a47adbbd87d51779b44b2,41128,41153,41128,41153,0,0,,True,True,,False
I058DD999,new,Citation.yml,2aa434805a76484895a66be418ecdc6f,41155,41182,41155,41182,0,0,,True,True,,False
I058DD999,new,Citation.yml,8f1624b5df8449748b66e04be6ac7c27,41322,41364,41322,41364,0,0,,True,True,,False
I058DD999,new,Citation.yml,e8973e67786841c1a9e9538e82b933a5,41753,41790,41753,41790,0,0,,True,True,,False
I058DD999,new,Citation.yml,6305d9e1fc934d5ca7c6ec453abd9c54,41792,41831,41792,41831,0,0,,True,True,,False
I058DD999,new,Citation.yml,166f34efad0e407e9bf3c024294d51fa,41833,41859,41833,41859,0,0,,True,True,,False
I058DD999,new,Citation.yml,ce087def27654e34be35d732fbf1f07c,41861,41895,41861,41895,0,0,,True,True,,False
I058DD999,new,Citation.yml,2e818cb3f73145d1a0b39e45733ddceb,42372,42399,42372,42399,0,0,,True,True,,False
I058DD999,new,Citation.yml,8743706a3b7e455caabdd7cea339e669,42401,42434,42401,42434,0,0,,True,True,,False
I058DD999,new,Citation.yml,21abd965e4a3401fa7c5161f43071905,42436,42462,42436,42462,0,0,,True,True,,False
I058DD999,new,Citation.yml,fad9351ca141477fa9933239d5e34571,42464,42490,42464,42491,0,1,,True,True,,False
I058DD999,new,Citation.yml,0455d55a25d949bdad261100fe1d7b98,42515,42541,42515,42541,0,0,,True,True,,False
I058DD999,new,Citation.yml,af3caa25f7224695910ad250cc57aa14,42543,42567,42543,42567,0,0,,True,True,,False
I058DD999,new,Citation.yml,971df505fa894c46800cfbb074f964ff,42569,42598,42569,42598,0,0,,True,True,,False
I058DD999,new,Citation.yml,1f3fa9fe535b4814b3fe81299825e81b,42600,42630,42600,42630,0,0,,True,True,,False
I058DD999,new,Citation.yml,f3c9f568a94c4d4b99f153bd30f1faeb,43223,43259,43223,43259,0,0,,True,True,,False
I058DD999,new,Citation.yml,c2a6e5fc315b43cdbabfb4b8e8535f87,43261,43293,43261,43294,0,1,,True,True,,False
I058DD999,new,Citation.yml,d51703e80a2e49d98211232d7fe211e5,43315,43343,43315,43343,0,0,,True,True,,False
I058DD999,new,Citation.yml,75d24a21a4714e5a8152d4588ec6280e,43345,43373,43345,43373,0,0,,True,True,,False
I058DD999,new,Citation.yml,b2e91687bded4f7d8ae0537190090edc,43375,43402,43375,43402,0,0,,True,True,,False
I058DD999,new,Citation.yml,878351608e004e91903f0b7129fcf424,43404,43429,43404,43429,0,0,,True,True,,False
I058DD999,new,Citation.yml,873d399778e84c16bb04948d664b09fb,44323,44358,44323,44358,0,0,,True,True,,False
I058DD999,new,Citation.yml,44f91aa870b04af1801458641a8d40c7,44360,44397,44360,44397,0,0,,True,True,,False
I058DD999,new,Citation.yml,ad54c873f4554b65bf8c6309fa71be4d,44420,44444,44420,44444,0,0,,True,True,,False
I058DD999,new,Citation.yml,a0fbafe950d24f31859e1de5513c1314,44446,44472,44446,44472,0,0,,True,True,,False
I058DD999,new,Citation.yml,3f950a800dd642f282b917366e10a1d3,44474,44497,44474,44497,0,0,,True,True,,False
I058DD999,new,Citation.yml,271ad0e350804f869bd0d6169f446d61,44499,44525,44499,44525,0,0,,True,True,,False
I058DD999,new,Citation.yml,10eb8e2a177f4a78ac408235859f819c,44754,44785,44754,44785,0,0,,True,True,,False
I058DD999,new,Citation.yml,f979d5c060694c7396a3c6594cf8fe0c,44787,44811,44787,44812,0,1,,True,True,,False
I058DD999,new,Citation.yml,31cfb50e7faa43d1a3a1155cf8cb2504,44832,44869,44832,44869,0,0,,True,True,,False
I058DD999,new,Citation.yml,2f18116ebc0c45538453a542f081353e,44871,44908,44871,44908,0,0,,True,True,,False
I058DD999,new,Citation.yml,8ab46e65f48544dc9184cadc031034b5,44910,44944,44910,44944,0,0,,True,True,,False
I058DD999,new,Citation.yml,774d7f366e3f4fc2a52b2546003d1a84,44946,44979,44946,44979,0,0,,True,True,,False
I058DD999,new,Citation.yml,560d953038e2455e80eac15c306a1d60,44981,45019,44981,45019,0,0,,True,True,,False
I058DD999,new,Citation.yml,fd70a34b90d44e33935b23da9e6160ed,46562,46589,46562,46589,0,0,,True,True,,False
I058DD999,new,Citation.yml,4b21eecc0bc144edb1e7cf1964842ceb,46591,46618,46591,46619,0,1,,True,True,,False
I058DD999,new,Citation.yml,04206900077d498390b609dced41442e,46640,46672,46640,46672,0,0,,True,True,,False
I058DD999,new,Citation.yml,fe8f70fda0dc4e198312454054dbaa55,46674,46702,46674,46702,0,0,,True,True,,False
I058DD999,new,Citation.yml,887aad4fe3134ebaa89d798f4942bbf3,46704,46734,46704,46734,0,0,,True,True,,False
I058DD999,new,Citation.yml,d6317ccd246a44058c7d22a1d6d0e3cd,46736,46766,46736,46766,0,0,,True,True,,False
I058DD999,new,Citation.yml,b8b245473feb43f482abf4f7e65108f5,47171,47209,47171,47209,0,0,,True,True,,False
I058DD999,new,Citation.yml,5ce0d3ddf15b4530a3e7084320ee385a,47211,47249,47211,47249,0,0,,True,True,,False
I058DD999,new,Citation.yml,c39cfb89aead4c5db4863ce53b88caea,47251,47285,47251,47285,0,0,,True,True,,False
I058DD999,new,Citation.yml,72d3b785f3d24e5db1bf848e0906d4b6,47287,47318,47287,47319,0,1,,True,True,,False
I058DD999,new,Citation.yml,3e5a8671238c4f6d901931f23f646764,47346,47373,47346,47373,0,0,,True,True,,False
I058DD999,new,Citation.yml,ab0cf43e653c42e9a51697df508ba02c,47375,47402,47375,47402,0,0,,True,True,,False
I058DD999,new,Citation.yml,f0ace5f03bb44f238e571e3b5053850f,47404,47432,47404,47432,0,0,,True,True,,False
I058DD999,new,Citation.yml,d4cb58581984490794e9c3a2e9973be7,47434,47461,47434,47463,0,2,,True,True,,False
I058DD999,new,Citation.yml,c5dc3875fa8643108431221b7fbcd8ef,47849,47884,47849,47884,0,0,,True,True,,False
I058DD999,new,Citation.yml,93b2beea301941c6b316d3cfaca6c397,47886,47923,47886,47923,0,0,,True,True,,False
I058DD999,new,Citation.yml,73c33fcd2a1343ee8a0dee792dc62a5d,47925,47957,47925,47957,0,0,,True,True,,False
I058DD999,new,Citation.yml,92e61ee023f243e2b1a74e694fc91417,47959,47997,47959,47997,0,0,,True,True,,False
I058DD999,new,Citation.yml,d095969017634acf933a2d0f44191b7c,48038,48071,48038,48071,0,0,,True,True,,False
I058DD999,new,Citation.yml,1d05aa52be914c7381c0dee5f97642c4,48073,48101,48073,48101,0,0,,True,True,,False
I058DD999,new,Citation.yml,a23807d8387e4bf2a3376f1c3d41798e,48103,48137,48103,48137,0,0,,True,True,,False
I058DD999,new,Citation.yml,39fe9153023d44188bff16287f33990c,48139,48174,48139,48174,0,0,,True,True,,False
I058DD999,new,Citation.yml,23c58396f23c4cf3ae1742291b973b87,48626,48656,48626,48656,0,0,,True,True,,False
I058DD999,new,Citation.yml,a2bd42ce8b9e4b7093dce7ef5e50684d,48658,48689,48658,48689,0,0,,True,True,,False
I058DD999,new,Citation.yml,7304631db3004279b78247cff8a2b070,48691,48718,48691,48718,0,0,,True,True,,False
I058DD999,new,Citation.yml,eeedbf2184bb4cbb8108b0a4b2a3d80f,48720,48746,48720,48747,0,1,,True,True,,False
I058DD999,new,Citation.yml,1fe48607d1f946688d5e431b06d0a098,49655,49692,49655,49692,0,0,,True,True,,False
I058DD999,new,Citation.yml,0ed41affcafb410f87e35fe9b66e28eb,49694,49724,49694,49724,0,0,,True,True,,False
I058DD999,new,Citation.yml,46eecd05c76647da8eb7e7d3495fae81,49726,49753,49726,49753,0,0,,True,True,,False
I058DD999,new,Citation.yml,51d5b03b2f284cdca25852ee606e5290,49755,49786,49755,49786,0,0,,True,True,,False
I058DD999,new,Citation.yml,57cf01c9d4bd4412961abe2040a2e8e3,49788,49820,49788,49820,0,0,,True,True,,False
I058DD999,new,Citation.yml,886b5526d2a645baa6f504e6038b0c62,49822,49849,49822,49850,0,1,,True,True,,False
I058DD999,new,Citation.yml,bd42c5484fe64d4da83fea235ee698a5,50363,50387,50363,50387,0,0,,True,True,,False
I058DD999,new,Citation.yml,52f16c17b910443fbd87fd9dcfbc7013,50389,50415,50389,50415,0,0,,True,True,,False
I058DD999,new,Citation.yml,f76d28a0915b4a00a8b8dc177402a74e,50417,50443,50417,50443,0,0,,True,True,,False
I058DD999,new,Citation.yml,1ca358602c4c49e4ae9c0574dd4aab00,50455,50485,50455,50485,0,0,,True,True,,False
I058DD999,new,Citation.yml,fe226d50ead044a592d019efeab731e8,50487,50515,50487,50515,0,0,,True,True,,False
I058DD999,new,Citation.yml,15fd84df50b44e3e902f7986b0449aee,50527,50560,50527,50560,0,0,,True,True,,False
I058DD999,new,Citation.yml,0cb15dc7865448798db5aaa6a41f193d,50562,50600,50562,50600,0,0,,True,True,,False
I058DD999,new,Citation.yml,b107973803ec46688d791a961d6d3920,50602,50646,50602,50646,0,0,,True,True,,False
I058DD999,new,Citation.yml,c0bbe2caad784f008ad5135647763dbf,50648,50679,50648,50680,0,1,,True,True,,False
I058DD999,new,Citation.yml,53eb5854da1449a3accaca36cc6550c0,51563,51591,51563,51591,0,0,,True,True,,False
I058DD999,new,Citation.yml,b7e206a0a77a4fe2b131ec1e43586394,51593,51622,51593,51622,0,0,,True,True,,False
I058DD999,new,Citation.yml,be99e98fe8fe4802bd64dc2a66a044bb,51624,51651,51624,51651,0,0,,True,True,,False
I058DD999,new,Citation.yml,837a187b620547d6a8643a736b311bc5,51653,51685,51653,51685,0,0,,True,True,,False
I058DD999,new,Citation.yml,c164506ef153472690911296d6ad92bb,51687,51720,51687,51720,0,0,,True,True,,False
I058DD999,new,Citation.yml,1fca9036d28f4380b4562ca713b5318d,51722,51755,51722,51755,0,0,,True,True,,False
I058DD999,new,Citation.yml,6216de23ac5e4229bbec9ce17baf2016,51757,51783,51757,51783,0,0,,True,True,,False
I058DD999,new,Citation.yml,79d3353b0c69455ab29a8365a4191c45,52716,52751,52716,52751,0,0,,True,True,,False
I058DD999,new,Citation.yml,fe499590173f41479ddae5881c8e424c,52753,52790,52753,52790,0,0,,True,True,,False
I058DD999,new,Citation.yml,1c4d340e460d405d901fc7ba37b29a28,52792,52834,52792,52834,0,0,,True,True,,False
I058DD999,new,Citation.yml,c00c3398a36c4af69eb99756bfd7da4f,52836,52873,52836,52874,0,1,,True,True,,False
I058DD999,new,Citation.yml,6fc51d6b783542f1a3388a767928e25e,52918,52945,52918,52945,0,0,,True,True,,False
I058DD999,new,Citation.yml,28c887cde2e048328ccb55d8892bcc6f,52947,52974,52947,52974,0,0,,True,True,,False
I058DD999,new,Citation.yml,e3782ced14534258bda18c46b1f8a00c,52976,53004,52976,53004,0,0,,True,True,,False
I058DD999,new,Citation.yml,13555ad8b6744d38bbd94095c9d1bfcc,53006,53030,53006,53030,0,0,,True,True,,False
I058DD999,new,Citation.yml,5e2b75a9afb945cbae8c09201c75bc33,53032,53060,53032,53061,0,1,,True,True,,False
I058DD999,new,Citation.yml,0d690d6c3d3e45e0b8b6f44b7bdaede4,53113,53157,53113,53157,0,0,,True,True,,False
I058DD999,new,Citation.yml,628c0941489e425b9f1377fd46ca7e94,53159,53201,53159,53201,0,0,,True,True,,False
I058DD999,new,Citation.yml,52bcc43e833f4e3bb91aaf2121c4b4ee,53203,53248,53203,53248,0,0,,True,True,,False
I058DD999,new,Citation.yml,bc570be8365f40cfa4ee20fef2b7b07d,54469,54499,54469,54499,0,0,,True,True,,False
I058DD999,new,Citation.yml,2d8282cdccf24d4c9d8d5653c47e008f,54501,54530,54501,54531,0,1,,True,True,,False
I058DD999,new,Citation.yml,99ed05bc05c74fdcb909704f4d3e0f19,54564,54603,54564,54603,0,0,,True,True,,False
I058DD999,new,Citation.yml,3f39f7c7241a43a28b38d536c11cd755,54605,54644,54605,54644,0,0,,True,True,,False
I058DD999,new,Citation.yml,849ff825460b4606a22f7567f5ee3927,54646,54682,54646,54682,0,0,,True,True,,False
I058DD999,new,Citation.yml,1680b5765f3a44afac8af4a86cc7854e,54847,54882,54847,54882,0,0,,True,True,,False
I058DD999,new,Citation.yml,a1561f6fa4b741bf86d8c452a8e293da,54884,54919,54884,54919,0,0,,True,True,,False
I058DD999,new,Citation.yml,6bfa85a135e84612be6899bbac5aade6,54921,54959,54921,54959,0,0,,True,True,,False
I058DD999,new,Citation.yml,1b176e5b61e74ef0a6de84e5c88d5c82,54961,54998,54961,54998,0,0,,True,True,,False
I058DD999,new,Citation.yml,16897ae537e842cbb4b31a40c964e9a4,55259,55295,55259,55295,0,0,,True,True,,False
I058DD999,new,Citation.yml,71c9b6b32b5c4ff8918ab3c92e60943e,55297,55333,55297,55333,0,0,,True,True,,False
I058DD999,new,Citation.yml,db5d9ceec03643a19b2ac2027f5dec26,55335,55372,55335,55372,0,0,,True,True,,False
I058DD999,new,Citation.yml,bc3c905e7d2143989961f009cb40d259,55374,55409,55374,55410,0,1,,True,True,,False
I058DD999,new,Citation.yml,a429ac4689334779adb5834ba8d90a6e,55441,55469,55441,55469,0,0,,True,True,,False
I058DD999,new,Citation.yml,85b0254844a94ecd89d84d3a90e24f98,55471,55498,55471,55498,0,0,,True,True,,False
I058DD999,new,Citation.yml,878c09799b4b4930835b08923c6b2c64,55500,55528,55500,55528,0,0,,True,True,,False
I058DD999,new,Citation.yml,285aa11096cf4f72a06dec04deb86dab,55530,55557,55530,55557,0,0,,True,True,,False
I058DD999,new,Citation.yml,19a76246f1934f3a9cbcf8bbc86e9221,55643,55673,55643,55673,0,0,,True,True,,False
I058DD999,new,Citation.yml,c38a5512fd0543e2bf8f25dcf0cb326f,55675,55703,55675,55703,0,0,,True,True,,False
I058DD999,new,Citation.yml,af941a447db8472aa384f25465a8a529,55705,55734,55705,55734,0,0,,True,True,,False
I058DD999,new,Citation.yml,0b41e8c413584856b1e9b51a0efa92a3,55736,55764,55736,55764,0,0,,True,True,,False
I058DD999,new,Citation.yml,a37095040bfb4f82ac1b7d51c23d9e93,55766,55794,55766,55794,0,0,,True,True,,False
I058DD999,new,Citation.yml,5d9561fbc4bf4648801a0e8d81bd80a1,55796,55822,55796,55822,0,0,,True,True,,False
I058DD999,new,Citation.yml,d8e109591afb422da1d2b8b0292cb652,55833,55867,55833,55867,0,0,,True,True,,False
I058DD999,new,Citation.yml,ded10ac941ca421face4e40c7aaaf079,55869,55906,55869,55906,0,0,,True,True,,False
I058DD999,new,Citation.yml,06e112cbc5454139803dea1b47f98cf1,55909,55945,55909,55945,0,0,,True,True,,False
I058DD999,new,Citation.yml,a6aab9b80f884fb99ebc48529d4db2a7,58537,58569,58537,58569,0,0,,True,True,,False
I058DD999,new,Citation.yml,d00eabed3d7c49b29e50116c11156ef9,58571,58610,58571,58610,0,0,,True,True,,False
I058DD999,new,Citation.yml,4cb6a53ccbae40ccbe6458df8d8d14a0,58612,58651,58612,58651,0,0,,True,True,,False
I058DD999,new,Citation.yml,3baae26ec2ed4a0396d5494e20f12f3e,58653,58689,58653,58690,0,1,,True,True,,False
I058DD999,new,Citation.yml,e9d8d0a0108a4fc8bbfb9a116eb53920,58713,58746,58713,58746,0,0,,True,True,,False
I058DD999,new,Citation.yml,1f7ebd1c57d74b77b4fa12275f1b33f2,58748,58780,58748,58780,0,0,,True,True,,False
I058DD999,new,Citation.yml,19c23d96963744fe822b9530fe35eba6,58782,58815,58782,58815,0,0,,True,True,,False
I058DD999,new,Citation.yml,f488cff38b8247cc816fc3a2cec8ca01,58817,58851,58817,58851,0,0,,True,True,,False
I058DD999,new,Citation.yml,f200ed2c289a4ac9ae7c0fa789887f80,59747,59777,59747,59777,0,0,,True,True,,False
I058DD999,new,Citation.yml,80385e7cba6742ab88ecd8609b99c06a,59779,59803,59779,59803,0,0,,True,True,,False
I058DD999,new,Citation.yml,9d89b9e48a3744d6918c96a5606bd5f0,59805,59830,59805,59830,0,0,,True,True,,False
I058DD999,new,Citation.yml,f9d0fca2272c4312ae3577caf5fe6247,59832,59859,59832,59860,0,1,,True,True,,False
I058DD999,new,Citation.yml,2a7208c4763449f08bf3df3e479bf04d,59883,59909,59883,59909,0,0,,True,True,,False
I058DD999,new,Citation.yml,f17eeae991434b8cb42b4c888b84a9f7,59911,59940,59911,59940,0,0,,True,True,,False
I058DD999,new,Citation.yml,a5fe9107f101439ca2c814be5d11caca,59942,59970,59942,59970,0,0,,True,True,,False
I058DD999,new,Citation.yml,71b6827f73474dd4951cd98780b0d827,59972,59997,59972,59998,0,1,,True,True,,False
I058DD999,new,Citation.yml,0ba855a09068444ebeaf2e5cc2ab08c9,60038,60064,60038,60064,0,0,,True,True,,False
I058DD999,new,Citation.yml,b1fd8db114394c4099449e94aa204e4a,60066,60095,60066,60095,0,0,,True,True,,False
I058DD999,new,Citation.yml,9d039bbf8f654297a09fa8fee1b18425,60097,60126,60097,60126,0,0,,True,True,,False
I058DD999,new,Citation.yml,36a337c69a86482d92692de1ec7b07e9,60128,60151,60128,60151,0,0,,True,True,,False
I058DD999,new,Citation.yml,a32b6764793b40aaa76c05a8e87a9a46,60352,60386,60352,60386,0,0,,True,True,,False
I058DD999,new,Citation.yml,f3745f1a0ea74fc7afe90acf51fa26ed,60388,60421,60388,60421,0,0,,True,True,,False
I058DD999,new,Citation.yml,b822713c97f84142a51f62a5e85aaece,60423,60456,60423,60456,0,0,,True,True,,False
I058DD999,new,Citation.yml,58b5a946768c4c1da2612dfbcc48a6db,60458,60488,60458,60489,0,1,,True,True,,False
I058DD999,new,Citation.yml,d2e4f08a899e460eabd903fb8ae0d88f,60517,60543,60517,60543,0,0,,True,True,,False
I058DD999,new,Citation.yml,a57e2ad9fc7441cfae0b9430ea1683e1,60545,60572,60545,60572,0,0,,True,True,,False
I058DD999,new,Citation.yml,152b531703844658b69ccb6fde90f839,60574,60602,60574,60602,0,0,,True,True,,False
I058DD999,new,Citation.yml,61ef44d6cbf84d93a21443d7a15ff38f,60604,60634,60604,60634,0,0,,True,True,,False
I058DD999,new,Citation.yml,b566ad5f4c294947a3ac1cde74d8d28f,61443,61482,61443,61482,0,0,,True,True,,False
I058DD999,new,Citation.yml,dec5fd95afeb4c279948bba64499861c,61484,61523,61484,61523,0,0,,True,True,,False
I058DD999,new,Citation.yml,848d80e2ae08410e93d9708dc3fbe44c,61525,61561,61525,61561,0,0,,True,True,,False
I058DD999,new,Citation.yml,401d8f890dbb4663875f71f7c47cdad5,61563,61599,61563,61601,0,2,,True,True,,False
I058DD999,new,Citation.yml,42a34c4c78754ec68aef10320b1e7a9c,61635,61673,61635,61673,0,0,,True,True,,False
I058DD999,new,Citation.yml,c97fac4d0c2b4d9f80bafe4cc022fe01,61675,61712,61675,61712,0,0,,True,True,,False
I058DD999,new,Citation.yml,3bf6a12ded1f482280221f4bd3343908,61714,61757,61714,61757,0,0,,True,True,,False
