# tsawa layer-detection document split v2 — FROZEN
# generated: 2026-09-15
# generator: scratch/build_stratified_split.py (greedy multi-objective)
# seed: 123
# targets: 80/10/10 by WINDOW count (8192 max_length / 5120 stride)
# stratified on: batch (P=old / I=new), n_windows, tsawa char density, pct_short (<30 char spans)
# must-link groups honoured: 11 reprint groups (same normalized title); generic publisher-imprint titles deliberately NOT linked
# pechas: 212  windows: 6728  global density: 4.538%  global pct_short: 31.42%  global old-batch window share: 53.6%
# replaces: coverage_pct-quartile document split (seed 42) whose token positive
#   density was 4.70 / 4.17 / 5.53 (train/val/test) and whose old-batch window
#   share was 60 / 25 / 24 percent
# TEST SPLIT IS FROZEN: these documents must not change between experiments; evaluate test once at the end, never for tuning or model selection.
#
# span source: data/processed/tsawa_spans_resolved.csv (snapped + overlap-resolved)
# consumed by: src/build_tsawa_dataset.py --split-file data/processed/split_v2_frozen.csv
pecha_id,split,group_id
ID4AD2D0E,train,ID4AD2D0E
IDACD7FC0,val,IDACD7FC0
IDAD44BA2,train,IDAD44BA2
IDBFF9DE3,train,I52248444
IDDA7F69E,train,IDDA7F69E
IDDB46142,train,IDDB46142
IE166DA22,train,IE166DA22
IE2421BEA,train,IE2421BEA
IE5895799,val,ICDC84458
IE79CC998,val,IE79CC998
IEA9B747E,train,IEA9B747E
IEE67309C,val,IEE67309C
IEEBAD11E,test,IEEBAD11E
IEF3A4022,train,IEF3A4022
IF3ACC3E1,train,IF3ACC3E1
IF428CDDB,test,I2133CA39
IF4C4BF01,train,IF4C4BF01
IF6B54962,test,IF6B54962
IF7A04537,test,IF7A04537
IF84B2E71,train,IF84B2E71
IF85C9484,train,IF85C9484
IFA88A536,train,IFA88A536
IFE0B60AA,train,IFE0B60AA
IFF541F44,train,IFF541F44
P000013,test,P000013
P000017,train,P000017
P000020,train,P000020
P000021,train,P000021
P000022,val,P000022
P000026,train,P000026
P000027,train,P000027
P000028,train,P000028
P000044,train,P000044
P000046,train,P000046
P000054,train,P000054
P000055,train,P000055
P000056,train,P000056
P000066,train,P000066
P000067,train,P000067
P000068,train,P000068
P000070,train,P000070
P000071,train,P000071
P000073,train,P000073
P000074,train,P000073
P000078,train,P000078
P000081,train,P000081
P000083,train,P000083
P000084,train,P000084
P000085,train,P000085
P000089,train,P000089
P000094,train,I40E5024E
P000098,train,P000098
P000101,train,P000073
P000111,train,P000111
P000114,train,P000114
P000115,train,P000115
P000117,train,P000117
P000118,val,P000118
P000123,test,P000123
P000127,test,P000127
P000128,train,P000128
P000129,train,P000129
P000132,train,P000132
P000135,test,P000135
P000141,train,P000141
P000144,train,P000144
P000145,val,P000145
P000151,train,P000070
P000153,train,P000153
P000155,train,P000155
P000161,train,P000161
P000162,train,P000162
P000164,train,P000164
P000168,train,P000168
P000170,train,P000170
P000172,val,P000172
P000175,train,P000175
P000176,val,P000176
P000177,test,P000177
P000178,val,P000178
P000179,val,P000179
P000180,test,P000180
P000185,train,P000185
P000188,val,P000188
P000189,train,P000189
P000193,train,P000193
P000194,train,P000194
P000195,val,P000195
P000199,val,P000179
P000200,test,P000200
P000201,test,P000201
P000203,train,P000203
P000204,train,P000204
P000207,train,P000207
P000213,train,P000213
P000215,test,P000215
P000217,val,P000217
P000218,test,P000218
P000219,train,P000219
P000224,train,P000224
P000225,train,P000225
P000226,train,P000226
P000230,train,P000230
P000237,train,P000237
P000241,train,P000241
P000242,train,P000242
P000246,train,P000246
P000251,train,P000251
P000253,test,P000253
P000254,val,P000254
P000259,train,P000259
P000269,train,P000269
P000275,train,P000275
